"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.869537140E0,5.004034638E-1,-8.930644989E-1,9.864412308E0
3.881535605E0,5.219519138E-1,-8.284190893E-1,9.859623909E0
3.893534003E0,5.267404318E-1,-8.140534163E-1,9.818921089E0
3.905532735E0,5.387118459E-1,-7.925049663E-1,9.778218269E0
3.917531167E0,4.956148863E-1,-8.236305118E-1,9.768641472E0
3.929529599E0,4.980091453E-1,-8.308133483E-1,9.780612946E0
3.941529164E0,5.027977228E-1,-8.236305118E-1,9.802161217E0
3.953527562E0,5.147690773E-1,-8.140534163E-1,9.818921089E0
3.965525794E0,5.123748183E-1,-8.092648983E-1,9.823709488E0
3.977524259E0,5.075862408E-1,-8.595446348E-1,9.794978142E0
3.989522458E0,5.099805593E-1,-8.643332124E-1,9.804554939E0
4.001519756E0,5.147690773E-1,-8.691217303E-1,9.799766541E0
4.013517788E0,5.339232683E-1,-8.619389534E-1,9.814132690E0
4.025516220E0,5.722316504E-1,-8.739103079E-1,9.840469360E0
4.037514685E0,5.674431324E-1,-8.858816624E-1,9.826104164E0
4.049513449E0,5.363175869E-1,-9.026415944E-1,9.818921089E0
4.061511914E0,5.243461728E-1,-9.122186899E-1,9.828497887E0
4.073510879E0,5.315290093E-1,-8.930644989E-1,9.823709488E0
4.085510444E0,5.195576549E-1,-9.194015265E-1,9.816526413E0
4.097508909E0,4.884320498E-1,-9.098244309E-1,9.830892563E0
4.109507505E0,5.027977228E-1,-8.834874034E-1,9.806949615E0
4.121506168E0,5.315290093E-1,-9.050358534E-1,9.816526413E0
4.133504831E0,5.363175869E-1,-8.715160489E-1,9.799766541E0
4.145502095E0,5.387118459E-1,-9.146129489E-1,9.814132690E0
4.157500691E0,5.554717779E-1,-9.194015265E-1,9.811738014E0
4.169499223E0,5.291347504E-1,-9.457385540E-1,9.828497887E0
4.181497688E0,5.387118459E-1,-9.696813226E-1,9.826104164E0
4.193496153E0,5.411061049E-1,-9.816526771E-1,9.876383781E0
4.205493918E0,4.644893110E-1,-9.888355136E-1,9.864412308E0
4.217492383E0,4.668835998E-1,-9.577099085E-1,9.842864037E0
4.229491348E0,4.812492430E-1,-8.930644989E-1,9.830892563E0
4.241489880E0,4.716721475E-1,-8.188419938E-1,9.783006668E0
4.253488345E0,4.788549542E-1,-7.877163887E-1,9.747093201E0
4.265487577E0,4.477293789E-1,-8.308133483E-1,9.742303848E0
4.277486042E0,4.477293789E-1,-8.595446348E-1,9.744698524E0
4.289484007E0,4.597007632E-1,-8.619389534E-1,9.783006668E0
4.301482472E0,4.980091453E-1,-8.882759809E-1,9.816526413E0
4.313480870E0,4.980091453E-1,-9.146129489E-1,9.830892563E0
4.325479569E0,4.573064744E-1,-9.433442950E-1,9.833286285E0
4.337478101E0,4.716721475E-1,-9.409499764E-1,9.830892563E0
4.349476599E0,4.908263385E-1,-9.481328130E-1,9.835680962E0
4.361474796E0,4.812492430E-1,-9.553156495E-1,9.833286285E0
4.373473959E0,4.788549542E-1,-9.505270720E-1,9.823709488E0
4.385473090E0,4.668835998E-1,-9.385557175E-1,9.835680962E0
4.397472788E0,4.620950520E-1,-9.241901040E-1,9.802161217E0
4.407473085E0,4.812492430E-1,-8.882759809E-1,9.814132690E0
4.419472983E0,4.620950520E-1,-8.810931444E-1,9.783006668E0
4.429473414E0,4.788549542E-1,-8.810931444E-1,9.768641472E0
4.441472412E0,4.908263385E-1,-9.074301720E-1,9.766246796E0
4.453471608E0,5.004034638E-1,-9.289786220E-1,9.794978142E0
4.465469873E0,5.027977228E-1,-9.577099085E-1,9.804554939E0
4.477468838E0,5.075862408E-1,-9.601042271E-1,9.816526413E0
4.489467304E0,5.291347504E-1,-9.481328130E-1,9.833286285E0
4.501465869E0,5.291347504E-1,-9.888355136E-1,9.828497887E0
4.513464334E0,5.339232683E-1,-9.936240315E-1,9.845257759E0
4.525463166E0,5.411061049E-1,-9.936240315E-1,9.821314812E0
4.537461631E0,5.554717779E-1,-9.672870040E-1,9.804554939E0
4.549460029E0,5.411061049E-1,-9.529213905E-1,9.785401344E0
4.561459794E0,5.339232683E-1,-9.648927450E-1,9.811738014E0
4.573458326E0,4.764606953E-1,-9.936240315E-1,9.799766541E0
4.585456858E0,4.812492430E-1,-9.936240315E-1,9.794978142E0
4.597455323E0,5.099805593E-1,-1.010383964E0,9.821314812E0
4.609453721E0,5.458946824E-1,-9.960182905E-1,9.838075638E0
4.621450719E0,5.435003638E-1,-1.024749637E0,9.845257759E0
4.633449184E0,5.530774593E-1,-1.051086664E0,9.826104164E0
4.645447649E0,5.626545548E-1,-1.051086664E0,9.814132690E0
4.657446047E0,5.482889414E-1,-1.039115310E0,9.823709488E0
