"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.952078778E0,-1.723877788E-1,1.465296149E0,9.833286285E0
3.964077243E0,-1.077423692E-1,1.510787368E0,9.818921089E0
3.976076641E0,-8.379961550E-2,1.496421814E0,9.809344292E0
3.988075039E0,-1.005595401E-1,1.503604531E0,9.759063721E0
4.000073771E0,-1.340793967E-1,1.494027495E0,9.744698524E0
4.012072536E0,-1.292908341E-1,1.474873304E0,9.747093201E0
4.024071068E0,-1.340793967E-1,1.501210332E0,9.725543976E0
4.036069533E0,-1.316851079E-1,1.491633177E0,9.715967178E0
4.048067931E0,-1.652049571E-1,1.501210332E0,9.672870636E0
4.060066396E0,-1.843591630E-1,1.527547359E0,9.684841156E0
4.072064428E0,-2.346389294E-1,1.534730196E0,9.629773140E0
4.084062893E0,-2.537931204E-1,1.525153041E0,9.603436470E0
4.096061458E0,-2.705530524E-1,1.532335877E0,9.675264359E0
4.108059990E0,-2.130904645E-1,1.549095750E0,9.682447433E0
4.120058455E0,-1.580221355E-1,1.527547359E0,9.751881599E0
4.132057353E0,-9.816526622E-2,1.537124395E0,9.809344292E0
4.144055751E0,-5.267404765E-2,1.556278586E0,9.854835510E0
4.156053116E0,-1.005595401E-1,1.544307232E0,9.862017632E0
4.168051581E0,-1.699935049E-1,1.529941559E0,9.799766541E0
4.180050146E0,-2.681587934E-1,1.496421814E0,9.735121727E0
4.192048809E0,-2.825244367E-1,1.479661822E0,9.727938652E0
4.204047405E0,-2.011190802E-1,1.484450340E0,9.718361855E0
4.216046569E0,-1.508393139E-1,1.532335877E0,9.725543976E0
4.228045232E0,-1.149251908E-1,1.482056141E0,9.780612946E0
4.240043862E0,-1.029538140E-1,1.479661822E0,9.775823593E0
4.252042260E0,-9.577099234E-2,1.477267504E0,9.732727051E0
4.264040792E0,-1.029538140E-1,1.498816013E0,9.742303848E0
4.276038823E0,-1.173194647E-1,1.517970204E0,9.680052757E0
4.288037288E0,-1.963305324E-1,1.505998850E0,9.701601982E0
4.300035686E0,-2.250618339E-1,1.477267504E0,9.682447433E0
4.312034151E0,-2.274561077E-1,1.508393168E0,9.713572502E0
4.324032616E0,-1.580221355E-1,1.484450340E0,9.766246796E0
4.336032914E0,-1.077423692E-1,1.510787368E0,9.821314812E0
4.348031379E0,-6.943397224E-2,1.484450340E0,9.840469360E0
4.360030011E0,-1.053480953E-1,1.472478986E0,9.809344292E0
4.372028476E0,-1.125309169E-1,1.477267504E0,9.773429871E0
4.384026941E0,-1.460507661E-1,1.494027495E0,9.696812630E0
4.396024506E0,-1.747820675E-1,1.522758722E0,9.663292885E0
4.408022904E0,-2.202732861E-1,1.532335877E0,9.694418907E0
4.420021202E0,-2.729473412E-1,1.520364523E0,9.675264359E0
4.432019800E0,-2.298503816E-1,1.484450340E0,9.672870636E0
4.444018563E0,-1.460507661E-1,1.479661822E0,9.672870636E0
4.456016826E0,-5.267404765E-2,1.496421814E0,9.706390381E0
4.468016424E0,-2.394274808E-2,1.498816013E0,9.780612946E0
4.480015855E0,-4.070267081E-2,1.503604531E0,9.840469360E0
4.492015685E0,-1.604164094E-1,1.491633177E0,9.866806030E0
4.504015448E0,-2.466102988E-1,1.484450340E0,9.866806030E0
4.514015680E0,-2.226675600E-1,1.482056141E0,9.857229233E0
4.526015144E0,-1.699935049E-1,1.482056141E0,9.823709488E0
4.538014675E0,-1.460507661E-1,1.477267504E0,9.756669998E0
4.550013673E0,-1.173194647E-1,1.477267504E0,9.687235832E0
4.562012539E0,-1.292908341E-1,1.474873304E0,9.644139290E0
4.574011505E0,-1.436564922E-1,1.505998850E0,9.617801666E0
4.586009970E0,-1.699935049E-1,1.498816013E0,9.617801666E0
4.598008702E0,-1.604164094E-1,1.498816013E0,9.677659035E0
4.610007167E0,-1.029538140E-1,1.501210332E0,9.701601982E0
4.622005399E0,-1.029538140E-1,1.503604531E0,9.756669998E0
4.634002897E0,-1.221080124E-1,1.491633177E0,9.787795067E0
4.646001362E0,-1.412622184E-1,1.484450340E0,9.754275322E0
4.657999493E0,-1.388679445E-1,1.465296149E0,9.744698524E0
4.669997958E0,-1.173194647E-1,1.477267504E0,9.732727051E0
4.681996490E0,-1.580221355E-1,1.477267504E0,9.747093201E0
4.693995988E0,-1.723877788E-1,1.467690468E0,9.778218269E0
4.705994386E0,-1.939362586E-1,1.453324795E0,9.816526413E0
4.717993151E0,-2.011190802E-1,1.436564922E0,9.888355255E0
4.729991616E0,-1.364736706E-1,1.472478986E0,9.878777504E0
4.741990314E0,-6.943397224E-2,1.501210332E0,9.826104164E0
4.753987879E0,-5.027977005E-2,1.522758722E0,9.754275322E0
4.765986344E0,-6.943397224E-2,1.561067224E0,9.687235832E0
